Id,saleprice
1461,133281.4897
1462,177203.9207
1463,182473.0848
1464,191643.2296
1465,182309.1577
1466,173350.3283
1467,179828.4891
1468,169710.5514
1469,178162.2497
1470,135049.5928
1471,206835.6026
1472,125286.0776
1473,119603.6807
1474,150073.255
1475,121218.6906
1476,331891.9571
1477,233436.8607
1478,265611.8624
1479,264853.2032
1480,351397.9422
1481,288354.7603
1482,196593.1152
1483,176028.5374
1484,164436.3078
1485,177586.0596
1486,194937.162
1487,268407.374
1488,223016.6631
1489,192322.9366
1490,226192.0543
1491,188541.5745
1492,104030.0832
1493,185873.4209
1494,253614.2325
1495,249828.1455
1496,231673.6838
1497,179853.6231
1498,171072.7795
1499,167186.4474
1500,164748.643
1501,182151.417
1502,162620.5049
1503,231131.8359
1504,220986.9099
1505,209638.7338
1506,191614.8802
1507,235182.3261
1508,186751.1921
1509,165947.9116
1510,148066.6389
1511,154799.9585
1512,183309.1816
1513,153681.3813
1514,166480.4286
1515,195528.4885
1516,156258.4257
1517,175070.4551
1518,136318.2588
1519,216203.0721
1520,138769.9026
1521,139835.1474
1522,175844.5168
1523,122096.9699
1524,132998.0223
1525,127869.375
1526,111006.5496
1527,122346.608
1528,144535.1093
1529,150309.532
1530,184377.1127
1531,152661.7771
1532,121411.5869
1533,170315.3544
1534,141856.7561
1535,150442.0745
1536,122418.5599
1537,135417.4316
1538,155894.5689
1539,195022.6026
1540,119024.4548
1541,140820.608
1542,143499.1635
1543,192200.7826
1544,119589.4722
1545,118215.3722
1546,148225.611
1547,149942.3158
1548,143350.2241
1549,125057.3579
1550,148474.1867
1551,126247.8514
1552,161616.1293
1553,144199.5945
1554,138128.1484
1555,170908.9255
1556,149984.2607
1557,126461.8326
1558,124931.4096
1559,122590.5253
1560,147487.3761
1561,146446.6211
1562,130978.0363
1563,123874.2225
1564,166576.2563
1565,156536.5588
1566,218197.6852
1567,97111.55675
1568,222423.1426
1569,158448.9672
1570,145700.5251
1571,157608.4105
1572,156992.4142
1573,230356.8873
1574,135848.5432
1575,207217.0422
1576,224461.6649
1577,181801.7487
1578,147746.2805
1579,152893.1009
1580,188700.9219
1581,157022.7082
1582,133096.3765
1583,268688.4088
1584,211746.4548
1585,152367.6746
1586,105565.4109
1587,107493.0183
1588,150895.8237
1589,115244.7272
1590,143285.1575
1591,112049.8667
1592,136757.9152
1593,130810.5575
1594,159143.0139
1595,117921.6823
1596,202956.8016
1597,178900.1635
1598,197018.194
1599,184028.9438
1600,174201.8321
1601,115308.9854
1602,135003.2162
1603,159081.2825
1604,242519.9795
1605,228852.1099
1606,173023.4376
1607,172868.4584
1608,195845.0721
1609,186039.9583
1610,164762.2767
1611,146684.4904
1612,175907.9799
1613,168621.7637
1614,150811.9671
1615,115298.6797
1616,106662.1235
1617,110711.7695
1618,128517.5512
1619,154870.3958
1620,172355.0066
1621,151438.1409
1622,153493.7472
1623,226181.2008
1624,210050.7707
1625,122984.712
1626,165140.3061
1627,186610.8332
1628,256543.6966
1629,176563.7161
1630,305751.6483
1631,197290.8775
1632,225846.6941
1633,166366.2301
1634,184800.1224
1635,173610.9391
1636,158429.5583
1637,201580.1456
1638,184637.325
1639,180939.8617
1640,246339.167
1641,172364.205
1642,225219.5436
1643,204012.8641
1644,215356.7458
1645,200982.8092
1646,156319.159
1647,153943.3403
1648,142302.1826
1649,149115.5495
1650,125605.0561
1651,130791.8902
1652,120341.1619
1653,120206.3778
1654,149947.6959
1655,153615.2105
1656,145200.9338
1657,150023.9537
1658,150447.6529
1659,134993.4939
1660,164142.8297
1661,368273.4276
1662,329419.6275
1663,344628.2004
1664,349057.6878
1665,285485.4794
1666,277692.9236
1667,310453.3522
1668,334515.6174
1669,268797.8145
1670,313027.1084
1671,249368.269
1672,347980.5095
1673,269423.6044
1674,234041.9393
1675,190537.2031
1676,196544.3893
1677,206025.71
1678,302584.5202
1679,344494.5381
1680,311217.2967
1681,236507.1527
1682,269106.8439
1683,183371.3303
1684,178280.1158
1685,168689.019
1686,171750.1656
1687,166746.2376
1688,191904.7177
1689,187663.4646
1690,187916.7308
1691,174110.4141
1692,239534.3936
1693,167472.4478
1694,179459.5952
1695,168429.2708
1696,220198.185
1697,171926.7614
1698,292992.312
1699,246537.9975
1700,237894.6989
1701,250266.3193
1702,241071.7718
1703,235970.5052
1704,257580.7358
1705,219077.6152
1706,281797.8749
1707,215312.4784
1708,196156.4902
1709,234543.1708
1710,210073.2124
1711,241673.9517
1712,242250.8086
1713,250761.2567
1714,214277.8012
1715,200961.6091
1716,178239.2312
1717,163075.6679
1718,142476.1892
1719,198129.3691
1720,220931.1295
1721,174321.7373
1722,145562.384
1723,162750.4124
1724,207756.4622
1725,219788.8075
1726,187615.9733
1727,163129.0332
1728,187884.1863
1729,161818.1218
1730,157679.1997
1731,150479.6792
1732,138318.8035
1733,128999.1981
1734,124956.0063
1735,148244.0506
1736,134405.8508
1737,207354.7413
1738,209126.32
1739,241507.5711
1740,217848.7272
1741,189191.1333
1742,173212.986
1743,177521.8189
1744,215182.0101
1745,205029.1929
1746,185664.7422
1747,211529.3262
1748,224757.6148
1749,153334.2132
1750,131700.8852
1751,225795.5133
1752,138808.5538
1753,156139.1236
1754,184945.2509
1755,167914.7521
1756,175953.7629
1757,128244.5201
1758,151891.0034
1759,153637.2447
1760,180370.0984
1761,154920.7956
1762,181158.1872
1763,163088.3294
1764,131872.0433
1765,175906.8921
1766,190697.672
1767,220900.4055
1768,148539.1467
1769,177796.188
1770,159303.092
1771,138786.8058
1772,142572.6958
1773,142034.6839
1774,152134.604
1775,148028.9158
1776,137186.697
1777,118163.1059
1778,145194.0462
1779,142365.0815
1780,169556.7399
1781,138025.6275
1782,121313.783
1783,153836.5229
1784,114597.4256
1785,129956.1294
1786,180206.059
1787,168050.0377
1788,94878.77648
1789,114337.2285
1790,105229.781
1791,185777.4098
1792,170606.826
1793,134769.6326
1794,152183.1069
1795,140504.4352
1796,133250.9698
1797,140475.6469
1798,135534.9547
1799,121681.746
1800,127708.6207
1801,140464.6527
1802,148109.7237
1803,158485.7408
1804,153720.7882
1805,149025.416
1806,126804.6644
1807,148984.559
1808,141766.2311
1809,124234.1712
1810,152353.7364
1811,131703.4563
1812,111377.595
1813,140647.3659
1814,110181.7703
1815,97216.50641
1816,116053.2164
1817,118202.5743
1818,159889.0983
1819,136221.9155
1820,109563.0976
1821,155494.6652
1822,160282.7317
1823,115385.8998
1824,146008.3861
1825,154524.2131
1826,122608.1088
1827,114616.3382
1828,159294.6298
1829,156761.4033
1830,141533.9149
1831,145229.9874
1832,140144.3643
1833,151993.5754
1834,144845.665
1835,154705.5259
1836,143986.9262
1837,139159.4068
1838,152271.2191
1839,133462.3169
1840,168864.7255
1841,144750.1683
1842,112719.8213
1843,139522.348
1844,148273.5647
1845,147854.0203
1846,161855.1939
1847,161891.5611
1848,96197.70043
1849,140106.6352
1850,131113.4989
1851,166956.4545
1852,125107.5412
1853,153987.6093
1854,176992.764
1855,161176.3014
1856,218417.1163
1857,168227.3463
1858,149115.1168
1859,132408.8537
1860,150072.3746
1861,132057.6037
1862,221322.5771
1863,218994.6876
1864,219002.4314
1865,309319.8349
1866,309029.3283
1867,210356.9415
1868,274954.3965
1869,200243.1584
1870,210304.4422
1871,221117.152
1872,167491.5487
1873,226946.735
1874,158585.935
1875,199452.2287
1876,193568.2758
1877,206015.7367
1878,195892.8071
1879,129861.1068
1880,151939.6975
1881,235464.4065
1882,236278.3135
1883,185559.6291
1884,197595.574
1885,223894.9328
1886,252607.6644
1887,207844.4538
1888,246265.1176
1889,169266.2273
1890,138736.2191
1891,165723.6139
1892,124326.7296
1893,142598.3247
1894,142337.6448
1895,141141.1853
1896,141384.0054
1897,133170.0441
1898,148473.1523
1899,158098.4225
1900,163930.0439
1901,165542.883
1902,146118.0981
1903,196974.1432
1904,147543.2552
1905,197116.2347
1906,161708.4
1907,196424.2649
1908,133517.3278
1909,150515.7828
1910,145262.5925
1911,196134.4027
1912,232281.1708
1913,169988.8339
1914,104280.6812
1915,272094.3665
1916,182502.3649
1917,221481.5074
1918,147931.7171
1919,182760.3428
1920,156651.6063
1921,327547.6693
1922,284327.5733
1923,207213.9759
1924,207298.7797
1925,195949.6684
1926,329910.5083
1927,145287.2679
1928,164424.9927
1929,139108.3307
1930,147208.2956
1931,151469.7285
1932,156673.8649
1933,184827.8875
1934,177558.5554
1935,174125.4683
1936,185143.7589
1937,180439.9352
1938,171313.2729
1939,212183.1659
1940,186288.8697
1941,172685.252
1942,184518.493
1943,197665.4374
1944,291050.2884
1945,342080.1809
1946,182502.3649
1947,246084.416
1948,190264.9736
1949,239859.1467
1950,182979.655
1951,250848.0956
1952,199652.1321
1953,185300.1952
1954,175873.2521
1955,137078.9153
1956,236982.8423
1957,162224.6377
1958,286081.6585
1959,147777.3654
1960,123841.9146
1961,142425.8052
1962,126638.6023
1963,129302.8344
1964,128956.3629
1965,150863.5508
1966,146165.2842
1967,259339.9089
1968,307533.1264
1969,333579.7029
1970,308978.1662
1971,339326.7653
1972,320869.6827
1973,237608.3273
1974,289050.4518
1975,297105.5856
1976,248255.6444
1977,296728.3611
1978,311352.8389
1979,297626.3212
1980,182906.6208
1981,312224.2655
1982,210364.2805
1983,190979.7933
1984,168963.1627
1985,225378.3463
1986,204693.5649
1987,170771.338
1988,171113.8305
1989,188996.2762
1990,206822.4276
1991,216822.4831
1992,206866.0629
1993,170737.1824
1994,212915.5964
1995,178455.838
1996,233502.2111
1997,279847.364
1998,269026.0537
1999,235231.6618
2000,280721.4746
2001,247822.6416
2002,226743.7144
2003,239493.5979
2004,255124.0271
2005,202667.9078
2006,203557.9272
2007,228076.0816
2008,199738.7125
2009,196474.5256
2010,189139.1236
2011,147684.371
